IA_Name,Mode
IA-0000144773,ModeB_AddressNotActiveOrPending
IA-0000144782,ModeB_AddressNotActiveOrPending
IA-0000144804,ModeB_AddressNotActiveOrPending
IA-0000144807,ModeA_NoPrimaryLocation
IA-0000144876,ModeA_NoPrimaryLocation
IA-0000144883,ModeB_AddressNotActiveOrPending
IA-0000145410,ModeB_AddressNotActiveOrPending
IA-0000145561,ModeB_AddressNotActiveOrPending
IA-0000145607,ModeA_NoPrimaryLocation
IA-0000145646,ModeB_AddressNotActiveOrPending
IA-0000145964,ModeA_NoPrimaryLocation
IA-0000145974,ModeB_AddressNotActiveOrPending
IA-0000146032,ModeB_AddressNotActiveOrPending
IA-0000146126,ModeB_AddressNotActiveOrPending
IA-0000146152,ModeB_AddressNotActiveOrPending
IA-0000146154,ModeB_AddressNotActiveOrPending
IA-0000146156,ModeB_AddressNotActiveOrPending
IA-0000146158,ModeB_AddressNotActiveOrPending
IA-0000146212,ModeB_AddressNotActiveOrPending
IA-0000146213,ModeB_AddressNotActiveOrPending
IA-0000146216,ModeB_AddressNotActiveOrPending
IA-0000146217,ModeB_AddressNotActiveOrPending
IA-0000146220,ModeB_AddressNotActiveOrPending
IA-0000146224,ModeB_AddressNotActiveOrPending
IA-0000146278,ModeB_AddressNotActiveOrPending
IA-0000146281,ModeB_AddressNotActiveOrPending
IA-0000146286,ModeB_AddressNotActiveOrPending
IA-0000146874,ModeB_AddressNotActiveOrPending
IA-0000147011,ModeA_NoPrimaryLocation
IA-0000147026,ModeB_AddressNotActiveOrPending
IA-0000147041,ModeB_AddressNotActiveOrPending
IA-0000147092,ModeA_NoPrimaryLocation
IA-0000147196,ModeB_AddressNotActiveOrPending
IA-0000147215,ModeB_AddressNotActiveOrPending
IA-0000147236,ModeB_AddressNotActiveOrPending
IA-0000147312,ModeA_NoPrimaryLocation
IA-0000147369,ModeB_AddressNotActiveOrPending
IA-0000147386,ModeB_AddressNotActiveOrPending
IA-0000147407,ModeB_AddressNotActiveOrPending
IA-0000147414,ModeA_NoPrimaryLocation
IA-0000147416,ModeB_AddressNotActiveOrPending
IA-0000147597,ModeB_AddressNotActiveOrPending
IA-0000147609,ModeB_AddressNotActiveOrPending
IA-0000147612,ModeB_AddressNotActiveOrPending
IA-0000147936,ModeB_AddressNotActiveOrPending
IA-0000148061,ModeB_AddressNotActiveOrPending
IA-0000148111,ModeB_AddressNotActiveOrPending
IA-0000148133,ModeB_AddressNotActiveOrPending
IA-0000148273,ModeB_AddressNotActiveOrPending
IA-0000148330,ModeA_NoPrimaryLocation
IA-0000148418,ModeB_AddressNotActiveOrPending
IA-0000148494,ModeB_AddressNotActiveOrPending
IA-0000148508,ModeB_AddressNotActiveOrPending
IA-0000148541,ModeB_AddressNotActiveOrPending
IA-0000148582,ModeB_AddressNotActiveOrPending
IA-0000148586,ModeB_AddressNotActiveOrPending
IA-0000148656,ModeA_NoPrimaryLocation
IA-0000148719,ModeB_AddressNotActiveOrPending
IA-0000148746,ModeA_NoPrimaryLocation
IA-0000148760,ModeB_AddressNotActiveOrPending
IA-0000149042,ModeB_AddressNotActiveOrPending
IA-0000149121,ModeB_AddressNotActiveOrPending
IA-0000149124,ModeB_AddressNotActiveOrPending
IA-0000149168,ModeB_AddressNotActiveOrPending
IA-0000149947,ModeB_AddressNotActiveOrPending
IA-0000149968,ModeB_AddressNotActiveOrPending
IA-0000149975,ModeB_AddressNotActiveOrPending
IA-0000150148,ModeB_AddressNotActiveOrPending
IA-0000150180,ModeB_AddressNotActiveOrPending
IA-0000150242,ModeB_AddressNotActiveOrPending
IA-0000150300,ModeA_NoPrimaryLocation
IA-0000150352,ModeB_AddressNotActiveOrPending
IA-0000150649,ModeA_NoPrimaryLocation
IA-0000150656,ModeA_NoPrimaryLocation
IA-0000151720,ModeA_NoPrimaryLocation
IA-0000151797,ModeA_NoPrimaryLocation
IA-0000151838,ModeB_AddressNotActiveOrPending
IA-0000151848,ModeA_NoPrimaryLocation
IA-0000151911,ModeA_NoPrimaryLocation
IA-0000151926,ModeA_NoPrimaryLocation
IA-0000151934,ModeA_NoPrimaryLocation
IA-0000151956,ModeA_NoPrimaryLocation
IA-0000151957,ModeA_NoPrimaryLocation
IA-0000151978,ModeB_AddressNotActiveOrPending
IA-0000152025,ModeA_NoPrimaryLocation
IA-0000152067,ModeA_NoPrimaryLocation
IA-0000152094,ModeA_NoPrimaryLocation
IA-0000152095,ModeB_AddressNotActiveOrPending
IA-0000152106,ModeA_NoPrimaryLocation
IA-0000152107,ModeA_NoPrimaryLocation
IA-0000152135,ModeA_NoPrimaryLocation
IA-0000152138,ModeA_NoPrimaryLocation
IA-0000152179,ModeA_NoPrimaryLocation
IA-0000152181,ModeA_NoPrimaryLocation
IA-0000152217,ModeA_NoPrimaryLocation
IA-0000152223,ModeA_NoPrimaryLocation
IA-0000152224,ModeA_NoPrimaryLocation
IA-0000152241,ModeA_NoPrimaryLocation
IA-0000152245,ModeA_NoPrimaryLocation
IA-0000152264,ModeA_NoPrimaryLocation
IA-0000152381,ModeA_NoPrimaryLocation
IA-0000152406,ModeA_NoPrimaryLocation
IA-0000153066,ModeB_AddressNotActiveOrPending
IA-0000153120,ModeA_NoPrimaryLocation
IA-0000153257,ModeA_NoPrimaryLocation
IA-0000153356,ModeA_NoPrimaryLocation
