IA_Name,Mode,Action,TargetType,TargetId,Detail
IA-0000115390,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000GssT2AS,College Heights Endoscopy Ctr(3147 College Heights Blvd-0499)
IA-0000052252,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000HSG12AO,RWJBH Observation Associates LLC (201 Lyons Ave-7000)
IA-0000091040,ModeB,SKIP,,,primary location not pending or no Primary/Practice address
IA-0000056332,ModeB,SET_ADDRESS_PENDING,Address,130UW00000Vv3dfYAB,University Physicians Associates (140 Bergen St ACC Level F-1880)
IA-0000056336,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000ICp72AG,University Physicians Associates (90 BERGEN STREET-2573)
IA-0000108031,ModeB,SKIP,,,primary location not pending or no Primary/Practice address
IA-0000022216,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000Id1J2AS,Lifebulb LLC (505 Main St-0127)
IA-0000061003,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000IedJ2AS,Curalta Medical LLC (67 Broadway Ste 1ST-3223)
IA-0000061004,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000Ieev2AC,Rutgers Health RWJ Cardiology (1 Robert Wood Johnson Pl-3000)
IA-0000061004,ModeA,SET_ADDRESS_PENDING,Address,130UW00000MMz4tYAD,single pending location
IA-0000061004,ModeA,SET_ADDRESS_PENDING,Address,130UW00000ZRTMkYAP,single pending location
IA-0000061006,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000IegX2AS,CHCA General Pediatrics (1648 Huntingdon Pike-2164)
IA-0000061021,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000Iev32AC,Strive Physical Therapy Specialist LLC (243 Us Highway 130 Ste 120-5420)
IA-0000065286,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000Iydd2AC,GARDEN STATE HEALTHCARE ASSOCIATES, LLC (111 Madison Ave, Suite 400-2690)
IA-0000101389,ModeB,SET_ADDRESS_PENDING,Address,130UW00000Y0MoGYAV,St Lukes Cancer Care Associates (240 Cetronia Rd-7000)
IA-0000106868,ModeB,SET_ADDRESS_PENDING,Address,130UW00000YSKcwYAH,Wright Choice Therapy LLC (Rte 38 So.-1504)
IA-0000079490,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000Ri9p2AC,Atlantic Medical Group(89 Sparta Ave Ste 220-4142)
IA-0000152095,ModeB,SET_ADDRESS_PENDING,Address,130UW00000Z16vGYAR,A Brighter Tomorrow Counseling (8 Emerald Ct-9024)
IA-0000085317,ModeA,SKIP,,,ambiguous: 2 locations, 2 usable - primary is a business decision
IA-0000086650,ModeA,SKIP,,,ambiguous: 2 locations, 2 usable - primary is a business decision
IA-0000089065,ModeA,SKIP,,,ambiguous: 2 locations, 2 usable - primary is a business decision
IA-0000089209,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000M7Z72AK,Hospitalists Pottstown Tower Health Medical Group(1600 E High St-7000)
IA-0000090843,ModeA,SKIP,,,ambiguous: 2 locations, 2 usable - primary is a business decision
IA-0000083177,ModeA,SKIP,,,ambiguous: 2 locations, 2 usable - primary is a business decision
IA-0000092309,ModeB,SET_ADDRESS_PENDING,Address,130UW00000Vr4GYYAZ,University Physicians Associates (140 Bergen St ACC Level C-1813)
IA-0000096122,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000NLer2AG,Hospitalists Reading Tower Health Medical Group(420 S 5th Ave-8000)
IA-0000101959,ModeB,SET_ADDRESS_PENDING,Address,130UW00000QliRAYAZ,DPV Consultants PA(68 Brooks Ave-5459)
IA-0000101959,ModeB,SET_ADDRESS_PENDING,Address,130UW00000SGAuXYAX,DPV Consultants PA(68 Brooks Ave-5459)
IA-0000151848,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000PEW12AO,Anesthesia Services Pa(4755 Ogletown Stanton Rd-1000)
IA-0000106685,ModeB,SET_ADDRESS_PENDING,Address,130UW00000bOVF3YAO,GIVING HOPES LLC (33 W Franklin St Ste 100-8875)
IA-0000107947,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000Pj8P2AS,AtlantiCare Urgent Care Center (912 W Bay Ave-5660)
IA-0000114989,ModeA,SKIP,,,ambiguous: 4 locations, 4 usable - primary is a business decision
IA-0000121416,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000RHRN2A4,Ultracare Anesthesia Partners(9500 Roosevelt Blvd-5872)
IA-0000118684,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000RgG52AK,Akumin Andorra(8305 Ridge Ave-4800)
IA-0000120781,ModeB,SET_ADDRESS_PENDING,Address,130UW00000WygjVYAR,Thriveworks (7 LINCOLN HWY-0057)
IA-0000120665,ModeA,SKIP,,,ambiguous: 3 locations, 3 usable - primary is a business decision
IA-0000121681,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000S9px2AC,RWJBH Emergency Medical Associates (201 Lyons Ave-7000)
IA-0000122017,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000SGJZ2A4,Planned Parenthood Of Metro (29 North Fullerton Ave-7116)
IA-0000122710,ModeB,SET_ADDRESS_PENDING,Address,130UW00000d6u5tYAA,NATIONAL MENTOR HEALTHCARE LLC dba PENNSYLVANIA MENTOR (3450 High Point Blvd Ste 160-3173)
IA-0000023643,ModeA,SKIP,,,ambiguous: 2 locations, 2 usable - primary is a business decision
IA-0000122989,ModeA,SKIP,,,ambiguous: 5 locations, 5 usable - primary is a business decision
IA-0000123793,ModeA,SKIP,,,ambiguous: 2 locations, 2 usable - primary is a business decision
IA-0000124112,ModeB,SET_ADDRESS_PENDING,Address,130UW00000dGM7lYAG,Forge Medical Group, LLC (920 Town Center Dr-7600)
IA-0000124524,ModeB,SET_ADDRESS_PENDING,Address,130UW00000aESAzYAO,Isaac Health PC (377 Valley Rd # 1301-2059)
IA-0000120879,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000TEcH2AW,FAM Rehabilitation (4 E Jimmie Leeds Rd Ste 10-7901)
IA-0000126192,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000TMl72AG,Rutgers Health RWJ Pediatric G I (89 French St-8028)
IA-0000126987,ModeB,SET_ADDRESS_PENDING,Address,130UW00000VpUTdYAN,SM Counseling and Consulting (3714 Midvale Ave-0061)
IA-0000127178,ModeB,SET_ADDRESS_PENDING,Address,130UW00000YHn3xYAD,Curious Roots Wellness, LLC (31 N Front St-3543)
IA-0000127462,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000Th812AC,Christiana Care Pennsylvania Inc (900 W BALTIMORE PIKE SUITE 102-3088)
IA-0000123320,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000TpS92AK,RWJBH Emergency Medicine Associates, LLC (300 2nd Ave-5200)
IA-0000128902,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000Tu6r2AC,INTENSIVISTS AT TOMS RIVER LLC (1 Hamilton Health Pl-7900)
IA-0000128983,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000TvsX2AS,Audiology Services Company USA(40 Stirling Rd Ste 206B-5227)
IA-0000129854,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000UBin2AG,Central Jersey Urgent Care LLC(1325 Us Highway 206-2300)
IA-0000129927,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000UCoY2AW,Radiology Affiliates of Central New Jersey, P C (1648 Huntingdon Pike-3000)
IA-0000130463,ModeB,SET_ADDRESS_PENDING,Address,130UW00000Yu1U7YAJ,MPV New Jersey MD Services, P.C. (10 Forest Ave Ste 220-7690)
IA-0000131122,ModeA,SKIP,,,ambiguous: 2 locations, 2 usable - primary is a business decision
IA-0000132242,ModeB,SET_ADDRESS_PENDING,Address,130UW00000ci9rKYAQ,Eleanor Health Professional TX, PLLC (2 Bala Plz Ste 300-1107)
